Number,Model,Company,Price,Rating,No_of_ratings,TotalReviews,RamSize,RomSize,,15228.30579
383,"MOTOROLA G32 (Satin Silver, 64 GB)",MOTOROLA,9999,4.2,"16,249","1,639",4 GB,64 GB,,
384,"MOTOROLA G62 5G (Frosted Blue, 128 GB)",MOTOROLA,14999,4.1,"8,567",933,6 GB,128 GB,,
385,"MOTOROLA g42 (Atlantic Green, 64 GB)",MOTOROLA,10999,4.1,"3,075",385,4 GB,64 GB,,
386,"APPLE iPhone 14 (Blue, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known,,
387,"realme 9 5G (Supersonic Black, 128 GB)",realme,16499,4.4,"44,415","2,930",6 GB,128 GB,,
388,"APPLE iPhone 14 (Purple, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known,,
389,"Infinix HOT 20 Play (Racing Black, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB,,
390,"Infinix HOT 20 Play (Aurora Green, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB,,
391,"Infinix HOT 20 Play (Fantasy Purple, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB,,
392,"vivo T1 5G (Rainbow Fantasy, 128 GB)",vivo,16990,4.4,"1,57,801","12,539",6 GB,128 GB,,
393,"vivo T1 5G (Rainbow Fantasy, 128 GB)",vivo,15990,4.3,"59,607","4,787",4 GB,128 GB,,
394,"REDMI Note 11 SE (Cosmic White, 64 GB)",REDMI,16998,4.3,"30,409","1,886",6 GB,64 GB,,
395,"REDMI 10 (Midnight Black, 64 GB)",REDMI,9999,4.3,"1,65,144","10,864",4 GB,64 GB,,
396,"REDMI 10 (Pacific Blue, 64 GB)",REDMI,9999,4.3,"1,65,144","10,864",4 GB,64 GB,,
397,"MOTOROLA G32 (Mineral Gray, 64 GB)",MOTOROLA,9999,4.2,"16,249","1,639",4 GB,64 GB,,
398,"POCO C31 (Royal Blue, 64 GB)",POCO,7499,4.3,"1,83,688","11,185",4 GB,64 GB,,
399,"POCO M4 5G (Cool Blue, 128 GB)",POCO,13999,4.2,"22,699","1,884",6 GB,128 GB,,
400,"vivo T1X (Gravity Black, 64 GB)",vivo,11999,4.5,"68,117","3,863",4 GB,64 GB,,
401,"vivo T1X (Space Blue, 64 GB)",vivo,11999,4.5,"68,117","3,863",4 GB,64 GB,,
402,"POCO M4 5G (Cool Blue, 64 GB)",POCO,11999,4.2,"45,400","3,749",4 GB,64 GB,,
403,"POCO M4 5G (Power Black, 128 GB)",POCO,13999,4.2,"22,699","1,884",6 GB,128 GB,,
404,"MOTOROLA g82 5G(White Lily, 128 GB)",MOTOROLA,18999,4.2,"5,211",703,6 GB,128 GB,,
405,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",SAMSUNG,13999,4.2,"32,083","2,613",4 GB,128 GB,,
406,"vivo T1 5G (Starlight Black, 128 GB)",vivo,15990,4.3,"59,607","4,787",4 GB,128 GB,,
407,"Infinix Smart 6 HD (Origin Blue, 32 GB)",Infinix,5799,4.4,"15,648",823,2 GB,32 GB,,
408,"vivo T1 5G (Starlight Black, 128 GB)",vivo,15990,4.3,"59,607","4,787",4 GB,128 GB,,
409,"MOTOROLA g22 (Iceberg Blue, 64 GB)",MOTOROLA,9499,3.7,"26,741","3,220",4 GB,64 GB,,
410,"Infinix Smart 6 HD (Origin Blue, 32 GB)",Infinix,5799,4.4,"15,648",823,2 GB,32 GB,,
411,"Infinix Smart 6 HD (Aqua Sky, 32 GB)",Infinix,5799,4.4,"15,648",823,2 GB,32 GB,,
412,"realme 9i (Prism Blue, 128 GB)",realme,12599,4.5,"1,16,293","6,868",4 GB,128 GB,,
413,"vivo T1X (Gravity Black, 128 GB)",vivo,12999,4.5,"68,117","3,863",4 GB,128 GB,,
414,"vivo T1X (Space Blue, 128 GB)",vivo,12999,4.5,"68,117","3,863",4 GB,128 GB,,
415,"Infinix Hot 12 (Exploratory Blue, 64 GB)",Infinix,8899,4.2,"14,750","1,095",4 GB,64 GB,,
